month,WE_Anencephalus,WE_cases_tb,WE_Prevalence,Boys_Anencephalus,Boys_cases_tb,Boys_Prevalence,Girls_Anencephalus,Girls_cases_tb,Girls_Prevalence
January,468.0,340797.0,137.0,463.0,252695.0,183.0,5.0,88102.0,5.68
February,399.0,318319.0,125.0,392.0,215431.0,182.0,7.0,102888.0,6.8
March,471.0,363626.0,130.0,459.0,205341.0,224.0,12.0,158285.0,7.58
April,437.0,359689.0,121.0,417.0,156571.0,266.0,20.0,203118.0,9.85
May,376.0,373878.0,101.0,347.0,120846.0,287.0,29.0,253032.0,11.46
June,410.0,361290.0,113.0,375.0,93400.0,401.0,35.0,267890.0,13.07
July,399.0,368867.0,108.0,364.0,95359.0,382.0,35.0,273508.0,12.8
August,472.0,358531.0,132.0,444.0,115886.0,383.0,28.0,242645.0,11.54
September,418.0,363551.0,115.0,398.0,158252.0,251.0,20.0,205299.0,9.74
October,448.0,352173.0,127.0,436.0,198874.0,219.0,12.0,153299.0,7.83
November,409.0,331964.0,123.0,402.0,224665.0,179.0,7.0,107299.0,6.52
December,397.0,336894.0,118.0,392.0,249801.0,157.0,5.0,87093.0,5.74
